Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,ACPR_Name,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2021-22 Australian Government Funding
Southhaven Aged Care,11 Queensbury Road,,PADSTOW HEIGHTS,NSW,2211,South West Sydney,Residential,141,,,Christadelphian Homes Limited,Religious,Major Cities of Australia,-33.96656866,151.0408148,"$7,292,172.93 "
St Hedwig Village,140 Reservoir Road,,BLACKTOWN,NSW,2148,Western Sydney,Residential,133,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.78923592,150.8966023,"$7,751,518.01 "
Turramurra House Nursing Home,34 Curagul Road,,NORTH TURRAMURRA,NSW,2074,Northern Sydney,Residential,58,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.69820486,151.1521154,"$3,830,015.80 "
Horton House and Warmington Lodge,41 Castor Street,,YASS,NSW,2582,Southern Highlands,Residential,65,,,Yass Valley Aged Care Limited,Private Incorporated Body,Inner Regional Australia,-34.83000427,148.9122759,"$3,685,175.88 "
Chow Cho-Poon Nursing Home,113-115 Homer Street,,EARLWOOD,NSW,2206,Inner West,Residential,46,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.92364177,151.1352189,"$4,116,878.82 "
Abernethy Nursing Home,2 Mount View Road,,CESSNOCK,NSW,2325,Hunter,Residential,52,,,Northern Coalfields Community Care Association Ltd,Community Based,Inner Regional Australia,-32.83209337,151.3499359,"$4,140,796.56 "
Mountainview Nursing Home,57 Mulgoa Road,,PENRITH,NSW,2750,Nepean,Residential,99,,,Mountainview Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.75529474,150.6859575,"$7,240,757.04 "
Scalabrini Village Allambie Heights,167 Allambie Road,,ALLAMBIE HEIGHTS,NSW,2100,Northern Sydney,Residential,90,,,Scalabrini Village Ltd,Religious,Major Cities of Australia,-33.76487256,151.247537,"$5,597,498.26 "
Laurieton Lakeside Aged Care Residence,349 Ocean Drive,,LAURIETON,NSW,2443,Mid North Coast,Residential,106,,,Halenvy Pty Limited,Private Incorporated Body,Inner Regional Australia,-31.63781791,152.7930547,"$6,924,177.11 "
Tarragal House,107 Karalta Road,,ERINA,NSW,2250,Central Coast,Residential,102,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.44151603,151.3977084,"$6,922,488.58 "
The Whiddon Group - Temora,119 Gloucester Street,,TEMORA,NSW,2666,Riverina/Murray,Residential,40,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-34.44343614,147.5422705,"$3,026,547.11 "
Gillawarna Village,145 Rex Road,,GEORGES HALL,NSW,2198,South West Sydney,Residential,151,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,-33.91078922,150.9851935,"$10,189,676.50 "
Lady Of Grace Nursing Home,454 Old Northern Road,,DURAL,NSW,2158,Western Sydney,Residential,53,,,Lady of Grace Fraternity Limited,Charitable,Major Cities of Australia,-33.70246276,151.0132975,"$3,023,633.61 "
Narraweena Grove Care Community,71a McIntosh Road,,NARRAWEENA,NSW,2099,Northern Sydney,Residential,54,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.75099266,151.2763827,"$4,141,884.64 "
Raymond Terrace Gardens Care Community,"15 Sturgeon Street, North",,RAYMOND TERRACE,NSW,2324,Hunter,Residential,80,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.760153,151.7486665,"$6,444,660.29 "
Denhams Beach Care Community,269 Beach Road,,DENHAMS BEACH,NSW,2536,Southern Highlands,Residential,130,,,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-35.75403785,150.2099506,"$8,312,992.02 "
Tweed Valley Care Community,1 Carramar Drive,,TWEED HEADS WEST,NSW,2485,Far North Coast,Residential,111,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-28.19304116,153.5017219,"$8,739,798.44 "
Narrabeen Glades Care Community,184 Garden Street,,WARRIEWOOD,NSW,2102,Northern Sydney,Residential,148,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.69333336,151.2881724,"$4,378,056.52 "
Killarney Vale Care Community,1 Daniel Close,,KILLARNEY VALE,NSW,2261,Central Coast,Residential,162,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.36504553,151.4651662,"$9,804,110.65 "
Tingira Hills Care Community,3 Violet Town Road,,MOUNT HUTTON,NSW,2290,Hunter,Residential,182,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.98785902,151.671601,"$12,810,677.01 "
Kanwal Gardens Care Community,100 Wahroonga Road,,KANWAL,NSW,2259,Central Coast,Residential,121,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.27013162,151.4765655,"$8,805,000.87 "
Berkeley Vale Care Community,8 Lorraine Avenue,,BERKELEY VALE,NSW,2261,Central Coast,Residential,160,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.33802209,151.4333883,"$10,768,390.03 "
Springwood Greens Care Community,79 Hawkesbury Road,,SPRINGWOOD,NSW,2777,Nepean,Residential,68,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.69225178,150.5825719,"$3,659,645.66 "
Orange Grove Care Community,152 Sieben Drive,,ORANGE,NSW,2800,Central West,Residential,99,,,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.27110765,149.0771112,"$7,083,356.46 "
St Ezekiel Moreno Nursing Home,77-79 Cheltenham Road,,CROYDON,NSW,2132,Inner West,Residential,58,,,St Ezekiel Moreno Limited,Religious,Major Cities of Australia,-33.8771063,151.1113577,"$2,907,314.13 "
Sirius Cove Nursing Home,17 Clanalpine Street,,MOSMAN,NSW,2088,Northern Sydney,Residential,55,,,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.83789121,151.2377926,"$2,979,305.39 "
Bayview Treetops Care Community,10 A Minkara Road,,BAYVIEW,NSW,2104,Northern Sydney,Residential,51,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.6634714,151.2859387,"$2,628,965.55 "
Estia Health Kogarah,74-76 Rocky Point Road,,KOGARAH,NSW,2217,South East Sydney,Residential,72,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.973371,151.136842,"$5,696,852.73 "
Calvary Ryde Retirement Community - Mary Potter Residential Care,678 Victoria Road,,RYDE,NSW,2112,Northern Sydney,Residential,116,,,Calvary Retirement Communities Limited,Religious,Major Cities of Australia,-33.817747,151.108024,"$8,230,942.33 "
Russian Relief Association of St Sergius of Radonezh,1 Gilbert Street,,CABRAMATTA,NSW,2166,South West Sydney,Residential,168,,,Russian Relief Association of St Sergius of Radonezh,Religious,Major Cities of Australia,-33.89532073,150.9259935,"$14,664,939.49 "
Japara Albury & District,636 Logan Road,,GLENROY,NSW,2640,Riverina/Murray,Residential,119,,,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.055131,146.915165,"$8,327,108.27 "
Japara The Brelsford,45 Victoria Street,,COFFS HARBOUR,NSW,2450,Mid North Coast,Residential,105,,,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-30.30528992,153.1257395,"$7,697,644.80 "
SummitCare Smithfield,11 Nyora Avenue,,SMITHFIELD,NSW,2164,South West Sydney,Residential,90,,,Stelcom Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.8605354,150.9441519,"$6,011,020.60 "
Bernard Chan Nursing Home,58 Weldon Street,,BURWOOD,NSW,2134,Inner West,Residential,45,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.88675757,151.1060454,"$4,018,375.62 "
Scalabrini Village Nursing Home (Bexley),34 Harrow Road,,BEXLEY,NSW,2207,South East Sydney,Residential,166,,,Scalabrini Village Ltd,Religious,Major Cities of Australia,-33.949858,151.129764,"$7,800,936.78 "
Regis Rose Bay,84 Newcastle Street,,ROSE BAY,NSW,2029,South East Sydney,Residential,66,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.876372,151.270318,"$4,688,895.68 "
Coffs Haven Residential Care Service,18 Sand Street,,NORTH BOAMBEE VALLEY,NSW,2450,Mid North Coast,Residential,100,,,The Churches of Christ Property Trust,Religious,Inner Regional Australia,-30.30873298,153.0968251,"$7,336,019.46 "
Uniting Kari Court St Ives,251-257 Mona Vale Road,,ST IVES,NSW,2075,Northern Sydney,Residential,55,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.72857768,151.1642538,"$3,502,703.66 "
St David's Village,45 Cook Street,,FORESTVILLE,NSW,2087,Northern Sydney,Residential,40,,,Anglican Community Services,Religious,Major Cities of Australia,-33.76425673,151.2198262,"$2,269,778.36 "
Catholic Healthcare Villa Maria Centre,13 Blackman Parade,,UNANDERRA,NSW,2526,Illawarra,Residential,96,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-34.4530186,150.8424374,"$7,342,657.97 "
IRT Crown Gardens,1 Guy Lane,,BATEMANS BAY,NSW,2536,Southern Highlands,Residential,40,,,Illawarra Retirement Trust,Community Based,Inner Regional Australia,-35.71333152,150.1751913,"$2,665,117.78 "
Uniting Starrett Lodge Hamlyn Terrace,35-45 Louisiana Road,,HAMLYN TERRACE,NSW,2259,Central Coast,Residential,80,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.25459162,151.4727421,"$5,881,451.36 "
Warrigal Care Queanbeyan,111 Campbell Street,,QUEANBEYAN,NSW,2620,Southern Highlands,Residential,132,,,Warrigal Care,Charitable,Major Cities of Australia,-35.35606503,149.2277275,"$9,212,322.08 "
Bupa Mosman,18 Bardwell Road,,MOSMAN,NSW,2088,Northern Sydney,Residential,64,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.82391615,151.2354244,"$4,012,029.20 "
Hugh Cunningham Gardens,2b Tura Beach Drive,,TURA BEACH,NSW,2548,Southern Highlands,Residential,66,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-36.865802,149.918739,"$3,234,744.94 "
Montana Aged Care Facility,36-38 Harbour Street,,MOSMAN,NSW,2088,Northern Sydney,Residential,64,,,Fresh Fields Management (NSW) No 2 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.8259081,151.2388482,"$2,484,474.08 "
Thomas and Rosetta Agst Aged Care Facility,1614-1634 Pacific Highway,,WAHROONGA,NSW,2076,Northern Sydney,Residential,107,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.72071669,151.1166024,"$4,622,149.54 "
Genista Aged Care Facility,185 Old Prospect Road,,GREYSTANES,NSW,2145,Western Sydney,Residential,84,,,Genista Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.81840805,150.9477393,"$4,791,523.21 "
Uniting Salamander Bay,4 Muller Street,,SALAMANDER BAY,NSW,2317,Hunter,Residential,60,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.73024951,152.0834705,"$4,248,645.49 "
IRT Greenwell Gardens,4 Brereton Street,,NOWRA,NSW,2541,Illawarra,Residential,79,,,Illawarra Retirement Trust,Community Based,Inner Regional Australia,-34.86994118,150.6088164,"$5,377,375.84 "
Marco Polo Aged Care Facility,70 Waples Road,,UNANDERRA,NSW,2526,Illawarra,Residential,167,,,Marco Polo Aged Care Services Limited,Charitable,Major Cities of Australia,-34.45587511,150.8310887,"$9,426,436.94 "
Alexander Aged Care,16 Victor Road,,BROOKVALE,NSW,2100,Northern Sydney,Residential,70,,,Armenian Rest Home Association Ltd,Community Based,Major Cities of Australia,-33.75929734,151.2773867,"$3,926,773.16 "
Southern Cross Care Kildare Residential Aged Care,216 Maroubra Road,,MAROUBRA,NSW,2035,South East Sydney,Residential,25,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.94166792,151.2429085,"$1,854,400.60 "
Raffles Assisted Aged Care,2 Falcon Way,,TWEED HEADS SOUTH,NSW,2486,Far North Coast,Residential,98,,,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-28.20055607,153.5361545,"$6,655,774.16 "
Southern Cross Care Moama Residential Aged Care,82 Regent Street,,MOAMA,NSW,2731,Riverina/Murray,Residential,56,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-36.10342732,144.7615987,"$3,675,755.87 "
Tocumwal Lions Community Hostel,21-23 Jerilderie Street,,TOCUMWAL,NSW,2714,Riverina/Murray,Residential,21,,,Tocumwal Lions Community Hostel Limited,Charitable,Inner Regional Australia,-35.81528481,145.5699176,"$1,196,652.62 "
Jindera Gardens Hostel,74 - 80 Creek Street,,JINDERA,NSW,2642,Riverina/Murray,Residential,21,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-35.95101441,146.8907246,"$1,660,639.17 "
Haddington Nursing Home,126 Duncan Street,,TENTERFIELD,NSW,2372,New England,Residential,46,,,Tenterfield Care Centre Limited,Charitable,Outer Regional Australia,-29.040912,152.014761,"$3,503,195.94 "
Bupa Dural,1 Stonelea Court,,DURAL,NSW,2158,Western Sydney,Residential,102,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.69333852,151.0164699,"$5,934,015.33 "
Buckland,39 Hawkesbury Road,,SPRINGWOOD,NSW,2777,Nepean,Residential,144,,,The Buckland Convalescent Hospital,Community Based,Major Cities of Australia,-33.69468968,150.5799044,"$9,911,302.42 "
Aurrum Erina,351 Terrigal Drive,,ERINA,NSW,2250,Central Coast,Residential,250,,,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.43410231,151.3992373,"$17,130,617.79 "
Leeton Hospital,4 Myall Street,,LEETON,NSW,2705,Riverina/Murray,Residential,38,,,NSW State Government (NSW Ministry of Health),State Government,Outer Regional Australia,-34.545836,146.409983,"$1,649,322.33 "
Calvary St Joseph's Retirement Community,240 Maitland Road,,SANDGATE,NSW,2304,Hunter,Residential,136,,,Calvary Retirement Communities Limited,Religious,Major Cities of Australia,-32.85897674,151.7034411,"$10,449,076.43 "
Blue Hills Manor,25 Tulich Avenue,,PRESTONS,NSW,2170,South West Sydney,Residential,67,,,Blue Hills Village Management (Liverpool) Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.94897121,150.8592218,"$4,715,222.38 "
Coolah Multi-Purpose Service,111-135 Martin Street,,COOLAH,NSW,2843,Orana Far West,Multi-Purpose Service,20,7,,Western NSW Local Health District,State Government,Outer Regional Australia,-31.821537,149.709992,"$1,476,917.85 "
Barraba Multi-Purpose Service,2-4 Edward Street,,BARRABA,NSW,2347,New England,Multi-Purpose Service,16,,,Hunter New England Local Health District,State Government,Outer Regional Australia,-30.38207239,150.6066656,"$1,095,311.16 "
Denman Multi-Purpose Service,51 OGILVIE Street,,DENMAN,NSW,2328,Hunter,Multi-Purpose Service,13,,,Hunter New England Local Health District,State Government,Inner Regional Australia,-32.38990911,150.6898199,"$918,140.16 "
Rylstone Multi-Purpose Service,9 Fitzgerald Street,,RYLSTONE,NSW,2849,Orana Far West,Multi-Purpose Service,24,,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.803144,149.975102,"$1,616,322.30 "
Fairlea Aged Care @ Harris Park,7-11 Crown Street,,HARRIS PARK,NSW,2150,Western Sydney,Residential,50,,,Trinity Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.82329955,151.0117221,"$4,355,736.99 "
Indochinese Aged Care Services,"680 Cabramatta Road, West",,BONNYRIGG,NSW,2177,South West Sydney,Residential,88,,,Indochinese Aged Care Limited,Community Based,Major Cities of Australia,-33.89394001,150.8947239,"$7,881,448.51 "
Coastal Waters Aged Care,100 The Wool Road,,WORROWING HEIGHTS,NSW,2540,Illawarra,Residential,126,,,Allity Pty Ltd,Private Incorporated Body,Inner Regional Australia,-35.08806709,150.6402229,"$8,207,086.45 "
Lightning Ridge Multi-Purpose Service,25 Pandora Street,,LIGHTNING RIDGE,NSW,2834,Orana Far West,Multi-Purpose Service,19,2,,Western NSW Local Health District,State Government,Remote Australia,-29.42991,147.98206,"$1,599,408.20 "
Estia Health Willoughby,202 Mowbray Road,,WILLOUGHBY,NSW,2068,Northern Sydney,Residential,74,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.80317962,151.1941657,"$5,046,573.51 "
Courtlands Aged Care Facility,15 Gloucester Avenue,,NORTH PARRAMATTA,NSW,2151,Western Sydney,Residential,144,,,Christadelphian Homes Limited,Religious,Major Cities of Australia,-33.795562,151.010266,"$5,771,368.15 "
Catholic Healthcare St Catherine's Aged Care,51 Gormans Hill Road,,GORMANS HILL,NSW,2795,Central West,Residential,130,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-33.433228,149.586132,"$9,944,244.11 "
Alstonville Adventist Aged Care Facility,77 Pearces Creek Road,,ALSTONVILLE,NSW,2477,Far North Coast,Residential,51,,,Seventh-day Adventist Aged Care (North New South Wales) Ltd,Charitable,Inner Regional Australia,-28.831896,153.439308,"$3,515,973.74 "
Emmaus,16 Colonel Barney Drive,,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,116,,,St Agnes' Care & Lifestyle,Religious,Inner Regional Australia,-31.46448539,152.8922534,"$7,995,837.80 "
Estia Health Dalmeny,25-29 Noble Parade,,DALMENY,NSW,2546,Southern Highlands,Residential,115,,,Estia Investments Pty Ltd,Private Incorporated Body,Outer Regional Australia,-36.16574813,150.1282068,"$8,064,773.76 "
Minchinbury Manor,57 John Street,,ROOTY HILL,NSW,2766,Western Sydney,Residential,146,,,Australasian Accommodation Aged Care Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.781418,150.830122,"$12,083,172.14 "
Southern Cross Care Marsfield Residential Aged Care,16 Vincentia Street,,MARSFIELD,NSW,2122,Northern Sydney,Residential,61,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.78145033,151.1045325,"$4,601,122.60 "
Bangalor Retreat,4 Stott Street,,TWEED HEADS WEST,NSW,2485,Far North Coast,Residential,101,,,Temahl (Aust) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-28.19198108,153.4936814,"$5,238,193.45 "
BaptistCare Aminya Centre,6 Goolgung Avenue,,BAULKHAM HILLS,NSW,2153,Western Sydney,Residential,119,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.75767277,151.0000114,"$6,779,644.41 "
Catholic Healthcare Our Lady of Loreto Gardens,1 Minnesota Road,,HAMLYN TERRACE,NSW,2259,Central Coast,Residential,60,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.24414632,151.4677064,"$4,319,382.35 "
BaptistCare Shalom Centre,159-165 Balaclava Road,,MACQUARIE PARK,NSW,2113,Northern Sydney,Residential,164,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.777251,151.11049,"$9,299,360.96 "
